Name,Address,Rating,Distance,Latitude,Longitude
Maza Bite,"4205 Keele Street Unit 16/17 Toronto, ON M3J 3T8 Canada ",3.5,1553.1089465418377,43.76073963892478,-79.5000273116394
Domino's Pizza,"4207 Keele Street North York, ON M3J 3T8 Canada ",2.7,1511.2434874643602,43.76073963892478,-79.5000273116394
Pizza Studio,"105 The Pond Rd Unit 100 Toronto, ON M3J 0K9 Canada ",1.0,995.8691773535519,43.76073963892478,-79.5000273116394
Pizza Pizza,"1300 Finch Avenue W Toronto, ON M3J 3K2 Canada ",0.0,931.143782615235,43.76073963892478,-79.5000273116394
Regino's Pizza,"1300 Finch Avenue W North York, ON M3J 3K2 Canada ",1.8,931.143782615235,43.76073963892478,-79.5000273116394
Pizza Hut,"1949 Finch Avenue W Toronto, ON M3N 2V3 Canada ",1.7,1530.9391101147685,43.76073963892478,-79.5000273116394
Pizza Pizza,"1837 Finch Avenue W Unit T-3 Toronto, ON M3N 2H1 Canada ",1.8,1213.1425747118926,43.76073963892478,-79.5000273116394
Panzerotto & Pizza 2 For 1,"1300 Finch Avenue W North York, ON M3J 3K2 Canada ",0.0,931.143782615235,43.76073963892478,-79.5000273116394
Gino's Pizza,"4700 Keele Street Toronto, ON M3J 2S5 Canada ",1.0,1510.20240657673,43.76073963892478,-79.5000273116394
Panzerotto & Pizza 2 For 1,"4700 Keele St North York, ON M3J 1P3 Canada ",0.0,1217.624220539387,43.76073963892478,-79.5000273116394
Pizzeria Da Mario,"253 Augusta Avenue Toronto, ON M5T 2L8 Canada ",4.6,479.1263452607426,43.6568254,-79.3966159
Ciao Pizzeria,"334 Dundas Street W Toronto, ON M5T 1G5 Canada ",4.6,438.1990458539865,43.6568254,-79.3966159
Midnight Arcade,"158 Augusta Avenue Floor 2 Toronto, ON M5T 2L5 Canada ",4.7,585.0298864347585,43.6568254,-79.3966159
Cosmic Pizza & Donair,"233 College Street Toronto, ON M5T 1R4 Canada ",3.8,153.1518631621589,43.6568254,-79.3966159
Piano Piano,"88 Harbord Street Toronto, ON M5S 1G5 Canada ",3.6,851.0018499566236,43.6568254,-79.3966159
Georgian House,"147 Spadina Avenue Toronto, ON M5V 2L7 Canada ",4.5,972.8981084015885,43.6568254,-79.3966159
